"pressure","Points:0","Points:1","Points:2"
7.0206,0,0,4.485
6.9569,0,0,4.49
6.8933,0,0,4.495
6.823,0,0,4.5
6.7419,0,0,4.505
6.6608,0,0,4.51
6.5797,0,0,4.515
6.4985,0,0,4.52
6.4174,0,0,4.525
6.3363,0,0,4.53
6.2368,0,0,4.535
6.1341,0,0,4.54
6.0691,0,0,4.545
6.004,0,0,4.55
5.9446,0,0,4.555
5.8852,0,0,4.56
5.8258,0,0,4.565
5.7576,0,0,4.57
5.689,0,0,4.575
5.6203,0,0,4.58
5.5517,0,0,4.585
5.4831,0,0,4.59
5.4145,0,0,4.595
5.3458,0,0,4.6
5.2907,0,0,4.605
5.226,0,0,4.61
5.1672,0,0,4.615
5.1131,0,0,4.62
5.059,0,0,4.625
4.9974,0,0,4.63
4.9302,0,0,4.635
4.8723,0,0,4.64
4.8143,0,0,4.645
4.7564,0,0,4.65
4.6987,0,0,4.655
4.6436,0,0,4.66
4.5885,0,0,4.665
4.5335,0,0,4.67
4.4784,0,0,4.675
4.4233,0,0,4.68
4.3683,0,0,4.685
4.3025,0,0,4.69
4.2226,0,0,4.695
4.1427,0,0,4.7
4.0628,0,0,4.705
3.9829,0,0,4.71
3.903,0,0,4.715
3.8254,0,0,4.72
3.7525,0,0,4.725
3.6801,0,0,4.73
3.6076,0,0,4.735
3.5352,0,0,4.74
3.4628,0,0,4.745
3.3903,0,0,4.75
3.3136,0,0,4.755
3.2363,0,0,4.76
3.1591,0,0,4.765
3.0897,0,0,4.77
3.0273,0,0,4.775
2.9583,0,0,4.78
2.9033,0,0,4.785
2.8495,0,0,4.79
2.7956,0,0,4.795
2.7418,0,0,4.8
2.6876,0,0,4.805
2.6329,0,0,4.81
2.5782,0,0,4.815
2.5235,0,0,4.82
2.4688,0,0,4.825
2.4141,0,0,4.83
2.3594,0,0,4.835
2.304,0,0,4.84
2.2125,0,0,4.845
2.1209,0,0,4.85
2.0346,0,0,4.855
1.9504,0,0,4.86
1.8662,0,0,4.865
1.782,0,0,4.87
1.6978,0,0,4.875
1.6136,0,0,4.88
1.5289,0,0,4.885
1.4439,0,0,4.89
1.3588,0,0,4.895
1.2738,0,0,4.9
1.1887,0,0,4.905
1.1036,0,0,4.91
1.0262,0,0,4.915
0.95881,0,0,4.92
0.8914,0,0,4.925
0.84222,0,0,4.93
0.80481,0,0,4.935
0.7674,0,0,4.94
0.72999,0,0,4.945
0.69258,0,0,4.95
0.65517,0,0,4.955
0.61776,0,0,4.96
0.58035,0,0,4.965
0.53557,0,0,4.97
0.48963,0,0,4.975
0.44062,0,0,4.98
0.39145,0,0,4.985
0.34228,0,0,4.99
0.29311,0,0,4.995
0.24394,0,0,5
